"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"68A24" 0.00562760114999833 0.0237364897513808 5.16115100835399 1.75956142225689e-05 0.00455490752816911 0.749665486494495
"85H14" 0.00941515504341642 0.0128439052881228 5.15486376578921 1.79013039540404e-05 0.00459290942176584 0.732407291187258
"83P19" 1.53619353641188 0.766721972880967 5.14895755658112 1.81933148401032e-05 0.00459290942176584 0.716195560310508
"62E20" 0.0150721955413969 0.048664822238028 5.14846947268968 1.82176588660391e-05 0.00459290942176584 0.714855861573442
"85H20" 2.65153434502458 1.36668558655108 5.14077028914888 1.86060166145503e-05 0.00465038137677291 0.693723553913642
"26F15" 0.0174664840142695 0.0385947582075808 5.13530838639241 1.88865430467846e-05 0.00467098260655443 0.67873261078301
"26A17" 0.0194610195948678 0.0566632809637149 5.132917775499 1.90106559367234e-05 0.00467098260655443 0.672171411262671
"79P09" 0.0399208716755747 0.0976351141578118 5.1268489501098 1.93294131493735e-05 0.00470939223058643 0.65551554620229
"51A22" -0.00707761087087206 0.0178310066076369 -5.11737711029524 1.98376442324849e-05 0.0047870261453294 0.629521467574722
"66P21" -0.00370837354936989 0.0123124851444522 -5.11231053002387 2.01149759117226e-05 0.0047870261453294 0.615617679565412
"68O05" 0.013975759268798 0.0492525027765465 5.11179546261584 2.01433859804155e-05 0.0047870261453294 0.614204251725148
"84B02" 0.0164461811033712 0.0247042932526061 5.10864503404551 2.03180341593944e-05 0.00478927450718147 0.605559083586829
"45K13" -0.00636333437131817 0.0181194999147728 -5.09673210477428 2.09922663068389e-05 0.00490829658898532 0.572870356782042
"89A07" 0.0287012281725119 0.0764057373490091 5.09013234670956 2.13753902760126e-05 0.00495460108589481 0.554762112024275
"06J19" -0.0052531223864685 0.0135762598035316 -5.08746717025778 2.15320848764442e-05 0.00495460108589481 0.547449741751068
"52C08" 0.00948866592678355 0.0137022820183583 5.07873555305692 2.20535486136492e-05 0.0050170926107686 0.523494174859902
"89J10" 0.0102824896290371 0.0387250712171925 5.0771472413715 2.21497552574201e-05 0.0050170926107686 0.519136763169181
"01M21" -0.0204630541346033 0.0534143864866796 -5.07118515982081 2.25146528864593e-05 0.00504291618514944 0.502780782565869
"91A03" 0.00678746751698739 0.0103687331079795 5.06576173681358 2.28518083185224e-05 0.00504291618514944 0.487903270017373
"83P13" 0.62271754880214 0.345259804120397 5.06404653705684 2.29594849284885e-05 0.00504291618514944 0.483198292080724
"64N06" 0.00838869468802359 0.0314854209595104 5.06404621371439 2.2959505275057e-05 0.00504291618514944 0.483197405124434
"82A10" 0.0105929270397493 0.0527589218580846 5.05057339152836 2.38231582241668e-05 0.00519326937137796 0.446242606986273
"93I06" 0.0281581638197702 0.067884764786711 5.04553867257849 2.41541834321077e-05 0.00521738193836324 0.432434025773761
"83I18" 0.0273768112563676 0.0321124264941175 5.04343770906089 2.42936764625612e-05 0.00521738193836324 0.426671974961739
"83E10" 0.0584603437642719 0.0876116014047973 5.03157706984783 2.50964214653239e-05 0.00523927505820143 0.394145572481483
"18D04" -0.0112283178843174 0.0345933791792379 -5.03144168747155 2.51057359366527e-05 0.00523927505820143 0.393774325236661
"01M24" -0.0207791145267873 0.0556408261181311 -5.03010225084642 2.51980774440266e-05 0.00523927505820143 0.390101333772655
"06M18" -0.00689461880052523 0.0144874531540289 -5.02930901453924 2.52529237678654e-05 0.00523927505820143 0.387926152459903
"01N21" -0.0346324460939392 0.0953625040514909 -5.02864166199889 2.52991586985893e-05 0.00523927505820143 0.38609617875162
"17C08" 0.0400716573760604 0.194521476242078 5.02402187091532 2.56215543813225e-05 0.00526728281582252 0.373428423763439
"66N20" -0.00439141792153439 0.0131789112451965 -5.01990917721316 2.59120193318351e-05 0.00526728281582252 0.362151691617433
"65B17" 0.0236511366614142 0.0392923291310413 5.01863054054007 2.60029946156528e-05 0.00526728281582252 0.358645858128241
"60L19" -0.0116218078352663 0.0502428566493762 -5.01641904067368 2.61610983850737e-05 0.00526728281582252 0.352582367657888
