"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"01M23" -0.0253190906920528 0.0523043844690214 -5.95124436681361 2.04467244923061e-06 0.00170723385726176 2.94329705081455
"18F05" -0.0497778300408418 0.159251092178967 -5.94791089561894 2.06317112801226e-06 0.00170723385726176 2.93420364199056
"60A22" -0.00549451009874859 0.0185870313917234 -5.93785596431574 2.12000008276553e-06 0.00170723385726176 2.90677117860157
"03N23" -0.00712508529517583 0.0239916203497511 -5.93160855809397 2.15610318030366e-06 0.00170723385726176 2.88972399328399
"45M08" -0.00611947456949496 0.0238571234508561 -5.921740464864 2.21439923790811e-06 0.00170723385726176 2.8627930300378
"41E09" -0.104236724731953 0.302776601442856 -5.91914597427238 2.22998882304625e-06 0.00170723385726176 2.85571159730811
"87B05" -0.00458328226929935 0.0143273850251316 -5.89945267964854 2.35199132167202e-06 0.00170723385726176 2.80194949669214
"14G21" 0.00715260457649831 0.0236098551053129 5.89002053709489 2.41279009341874e-06 0.00170723385726176 2.77619324989274
"18B15" -0.0248592868246066 0.0745328636697186 -5.88069783583667 2.4744427900416e-06 0.00170723385726176 2.75073161351897
"18D04" -0.0134839928995561 0.0345933791792379 -5.87370544539079 2.5217264493704e-06 0.00170723385726176 2.73163165824044
"82J05" -0.0599335750253649 0.212548965363226 -5.86986752750078 2.54806568513966e-06 0.00170723385726176 2.72114726746052
"03K21" -0.00694438206930737 0.0107952582406766 -5.84906513138162 2.69573884060107e-06 0.00170723385726176 2.66430749294115
"18A17" -0.0189919278729431 0.0472599890467377 -5.84763695329543 2.70618864731894e-06 0.00170723385726176 2.66040445498085
"26F07" 0.0102074314843254 0.0166182420235951 5.84559124396239 2.72122811505851e-06 0.00170723385726176 2.65481361706207
"18F18" -0.0163394080153762 0.0425259483644446 -5.84534536324834 2.72304142871928e-06 0.00170723385726176 2.65414162256932
"18L07" -0.0360933040978674 0.0817737545431523 -5.84100609891863 2.75524391102481e-06 0.00170723385726176 2.64228191857728
"27F08" 0.00379104579328296 0.00555025168130713 5.83469522383165 2.80276529934285e-06 0.00170723385726176 2.62503206469412
"45N23" -0.00754928984694272 0.0386359300192009 -5.83159026155471 2.82644863065446e-06 0.00170723385726176 2.61654445116178
"38F11" -0.0559260856579123 0.182963664965078 -5.81787352560752 2.93351452995928e-06 0.00172222036627415 2.57904378076593
"23J21" 0.0120631302494738 0.0491171532270002 5.80730407001231 3.01879850076864e-06 0.00172222036627415 2.55014199001083
