"groupCD" "groupUC" "AveExpr" "F" "P.Value" "adj.P.Val"
"69I24" 0.0178609725673418 0.0168196751474013 0.0107952582406766 22.2183890195734 1.62209892340867e-06 0.00146967231519961
"26F07" 0.0102074314843254 0.00936803138393518 0.0327207146909054 22.1203278175606 1.68505630374391e-06 0.00148044961861961
"66F21" -0.00638917499436965 -0.00489732909848485 0.00730231599857962 21.7134609557897 1.97565276447627e-06 0.00154712797940152
"71E24" 0.0371377676858247 0.0701492845087876 0.0133421395922326 21.7076210166224 1.98019560941702e-06 0.00154712797940152
"20D21" -0.0289157743747474 -0.0225240641092448 0.365203603570189 21.6795462518493 2.00219148224635e-06 0.00154712797940152
"93E21" 0.0191136199013569 0.0224977122862904 0.00723439026690325 21.6035931988735 2.06302098380335e-06 0.00154712797940152
"18F15" -0.0125172406795043 -0.00754023188191171 0.0274487741496709 21.5584703413826 2.10009403889601e-06 0.00154712797940152
"60A22" -0.00549451009874859 -0.00469931549602944 0.0248660309998437 21.5287726416587 2.12488268976221e-06 0.00154712797940152
"61A23" 0.0280694051165318 0.0436189412739392 0.0416051440843067 21.4918320405779 2.15615518419985e-06 0.00154712797940152
"45N23" -0.00754928984694272 -0.00672548866547475 0.116449381646334 21.454977026993 2.18784696842211e-06 0.00154712797940152
"01G20" -0.014514662757085 -0.012907692312048 0.0889487726253437 21.235338546289 2.38736538785065e-06 0.00164802106404652
"43K15" -0.0181568940874883 -0.0109454460165151 0.0173385858138503 21.0501826182348 2.57071518323884e-06 0.00170196123333952
"21D11" -0.00448253726801828 -0.00453465935379471 0.0285055759761122 21.0021055783121 2.6207510258381e-06 0.00170196123333952
"18C17" -0.0140911851819529 -0.010055471251138 0.0533855506207941 20.9823509675379 2.64161195806844e-06 0.00170196123333952
"69F12" 0.00755815345262628 0.00765902129155219 0.0108140226228561 20.7607194093425 2.88823999318722e-06 0.00178501877522556
"67B14" 0.0147759034732087 0.0304452089253908 0.0152148965545951 20.7168101067119 2.93996701293904e-06 0.00178501877522556
"21D14" -0.00496066702180884 -0.0039390927384899 0.0295462266178561 20.6888823672106 2.97338269827063e-06 0.00178501877522556
"18D04" -0.0134839928995561 -0.0112283178843174 0.110885634885777 20.65309818774 3.01679439816689e-06 0.00178501877522556
"55J11" 0.148110279065657 0.116494163164545 0.0220057339917697 20.430405863693 3.30268067057193e-06 0.00190958521393742
"01M23" -0.0253190906920528 -0.0198813713063704 0.0647312623652709 20.3889410385679 3.35904687030692e-06 0.00190958521393742
"01M21" -0.023947536457766 -0.0204630541346033 0.0605425410522838 20.3090230320524 3.47061308383889e-06 0.0019350670219181
"01N21" -0.0408774333718228 -0.0346324460939392 0.147590488503522 20.1831776111521 3.65441737186397e-06 0.00195190063556481
"62O07" 0.00937644818619526 0.0232368904080472 0.01440120356989 20.1700994679887 3.67410842467413e-06 0.00195190063556481
"61B06" 0.00940165168579873 0.0121281523429216 0.0493546302194944 20.1511941389047 3.70277428883056e-06 0.00195190063556481
"72N21" -0.00435577635901141 -0.00405403678718543 0.0232102454323005 20.0099031159155 3.92474899837005e-06 0.00203196870910255
"26N10" 0.0165543006555759 0.0137958543897611 0.0329908277685598 19.9478814725673 4.02665158976059e-06 0.0020481527989812
"01K24" -0.0286167690628423 -0.0258371278459564 0.0523806506434697 19.8692052693818 4.1600136587229e-06 0.00207950475874747
"22P02" 0.00472610668730642 0.0226455006889731 0.0441162482414663 19.7748428728238 4.32623497299734e-06 0.0020967017739916
"18F05" -0.0497778300408418 -0.0371045919912122 0.117339174534062 19.7677291996383 4.33905102747201e-06 0.0020967017739916
"09B23" -0.00765451870503461 -0.00696400677568687 0.0476010792678882 19.706752382107 4.45059025893091e-06 0.00210203426136799
"71B14" 0.0122509104881879 0.0321714369792211 0.00497506303933756 19.6449689505995 4.56674323304061e-06 0.00210203426136799
"85D13" 0.003468900804775 0.00568607404180882 0.00709377343058756 19.6445243559411 4.56759074487578e-06 0.00210203426136799
"45M08" -0.00611947456949496 -0.00455170943793939 0.0248684432883252 19.5719418479742 4.70823652510364e-06 0.00212919148961755
"18A04" -0.0220295622445638 -0.0143824098580197 0.0696982615288111 19.5297316037448 4.7921562583921e-06 0.00212919148961755
"01E05" -0.0182655388947173 -0.0158587584495532 0.0383694866071008 19.4656394820797 4.92265794137851e-06 0.00212919148961755
"38F11" -0.0559260856579123 -0.0437245555320604 0.0262361601966524 19.4335563187291 4.98940934243028e-06 0.00212919148961755
"61F08" 0.0149143070805829 0.0170008279501755 0.0227256582631925 19.4000202650048 5.06022114568814e-06 0.00212919148961755
"03L20" -0.00537097892079938 -0.00753024107706275 0.0413353882111558 19.3967280670792 5.06723046196016e-06 0.00212919148961755
"66C09" -0.0290738063997753 -0.0204038709801212 0.0191494272153376 19.3528608983392 5.16162569767571e-06 0.00213787162646731
"01C06" -0.0198033706317845 -0.0167868742933864 0.0606287693167237 19.2986223259339 5.28095033665922e-06 0.00215648722691212
"17K20" 0.0231712638157559 0.023786074054618 0.0736327583470499 19.2398531749247 5.41358516515668e-06 0.0021799454818526
"87H16" -0.00410981607027818 -0.00350624363819397 0.0355941282415104 19.1354495181607 5.65809213519628e-06 0.00224719267501022
"63J06" 0.0561045217354546 0.0995737804321214 0.0156730827286127 19.0281929497997 5.92164291965732e-06 0.00228274902966715
"25N09" 0.0083302175639394 0.00364256673027274 0.0428278915325841 18.9319219413911 6.1694140782653e-06 0.00228274902966715
"01I22" -0.0290813267592592 -0.0238049608758797 0.0609628801618767 18.9207924224594 6.19876616584251e-06 0.00228274902966715
"41K20" -0.0404484186019379 -0.0319592941709091 0.0205702888147079 18.8911738809925 6.27761081565705e-06 0.00228274902966715
"03K21" -0.00694438206930737 -0.00504748956157589 0.0488740225163481 18.8714936217939 6.330593266722e-06 0.00228274902966715
"18L07" -0.0360933040978674 -0.0263659359791514 0.0248166197859178 18.8662476586983 6.34479695754941e-06 0.00228274902966715
"70C10" 0.0170028924646912 0.0196384467540615 0.0204795930542666 18.8577852795192 6.36778123421962e-06 0.00228274902966715
"45M12" -0.00453505483140091 -0.00256267701490356 0.0182359629845624 18.8542192037353 6.37749358131409e-06 0.00228274902966715
"18A17" -0.0189919278729431 -0.0137455934153134 0.081744475508275 18.823162016235 6.46275293148058e-06 0.00228505604563922
"66J19" -0.00340808473547298 -0.0037698955036348 0.0147661052162542 18.716460202811 6.76510204613821e-06 0.002363139802695
"87B05" -0.00458328226929935 -0.00310786915233419 0.0674553973292029 18.6210475458068 7.04831137490726e-06 0.00240448256478579
"66K06" -0.00709257823696127 -0.00754734074986868 0.0167962464352388 18.602636008817 7.10440898535598e-06 0.00240448256478579
"68E20" 0.0146338555804586 0.0193100590805719 0.0303809985575756 18.5845540101523 7.15996821727245e-06 0.00240448256478579
"23G23" 0.00982562848024575 0.0140613453928963 0.027953524480745 18.5548367015919 7.2522918055701e-06 0.00240448256478579
"47P06" 0.0403561714431362 0.0322290595194324 0.0224032175881616 18.5402347607952 7.29812250202288e-06 0.00240448256478579
"85A24" 0.00790674298475524 0.0106461305670565 0.0156236242292635 18.4864021348555 7.46978394747688e-06 0.0024110889576867
