"groupCD" "groupUC" "groupCD.agemiddleage" "groupUC.agemiddleage" "groupCD.ageold" "groupUC.ageold" "AveExpr" "F" "P.Value" "adj.P.Val"
"13I17" 0.00119635047620371 -0.00226139467803241 -0.00165253949007717 0.00185990465308929 -9.41347218928643e-05 0.0187319359840562 0.0370651873969174 16.6751175482447 3.35711027146711e-07 0.00565852269334461
"20C20" 0.000716982491666654 -0.00182285228571427 9.3963849722226e-05 0.00198140437571425 -0.00373429396633333 0.022315290984381 0.0474293801433975 16.3894135201195 3.90337163683966e-07 0.00565852269334461
"38K11" 0.0155912864092593 0.00801589370462963 -0.00179715001537035 0.0044942464203704 0.00216019411074079 0.0100061923487038 0.0612453693586504 15.5400630556029 6.1868105061453e-07 0.00597913990015569
"12F17" 0.0054983934663426 0.00192804073370373 -0.00011935461165125 0.000508827296296248 -0.00235970917589811 0.0158782165622963 0.0355640236246339 13.9516603529679 1.54590211670287e-06 0.0112050850173916
"66F18" -0.0102624395040906 -0.00889125253238757 0.00956017094723766 0.00738006336597818 0.00930968203750595 0.010711778755287 0.0238582893595227 13.457821864683 2.08813553015056e-06 0.0113237759582576
"47C23" 0.00918141166177296 -0.00292704948397357 0.00261462681815409 0.0269400043673069 0.00140792057097875 0.0106107249667253 0.0393041798229531 13.2718621717024 2.343415850362e-06 0.0113237759582576
"36H18" -0.00250037817983797 -0.00311658010433532 0.000351617421752626 0.000485650488006605 0.00185704247695568 0.0230872185166316 0.0680276912717295 12.8331115899949 3.09108610058954e-06 0.0128028370449132
"18B15" -0.0449717524212062 -0.0264726191628728 0.0207434755316724 0.00746953068445019 0.0305608335021263 0.0171663926428728 0.0765625053257496 12.4862946165339 3.86647335364275e-06 0.0130132622481228
"11H17" -0.00029826729888888 -0.00496565805888886 0.00999448663104168 0.00925086340946757 0.0117300490060106 0.0162459108393439 0.0934327670833283 12.3359068869185 4.26651527540924e-06 0.0130132622481228
"60C19" -0.016489636775 -0.013363945135 0.00674661879310869 0.00136791443088647 0.00995372524170921 0.00795808951837591 0.0248756724632542 12.2589714748236 4.48841522026794e-06 0.0130132622481228
